record_id,crm_cd,other_crm_cds,mocodes
647,626,,0429 0432 0444 0913 1241 1243 1310 1813 2000
648,354,,0100 0935
649,354,,0930 1822
650,354,,0930 0928
651,354,,0929 0930
652,354,,0930 0929
653,354,,0344 1822 0930 0929 0922 1239
654,354,,0100 1822 0928
655,442,,0325 2028
656,624,,0416
658,860,,1822 0500 0522
659,354,,0377 0928
661,354,,0929 1817
662,354,,0929 1822
663,354,,0100 0922
664,354,,0929 1822 1202 0100
665,354,,1822 1501
666,900,,2038
667,354,,0377 0928
668,121,,0400 0527 0913
669,354,,1822 0100 1501
672,354,,0377
673,354,,0100 0928
674,354,,0100 1822 0935
675,354,,0100 0930
676,354,,0377
677,354,,1822 0929 1501
678,354,,0100
679,121,,0913 1814 1300 2000 0527
680,354,,0100
681,354,,1822
682,354,,1822 0928
683,330,,1607
684,653,,0344 1206
685,440,,0344
686,341,,0344
687,354,,0100
688,354,,1822 0377
689,668,,1803 0344
690,812,860,0913 0602 0552 0500 1257 0400
691,354,,0100 1822
692,354,,0928 1822
694,810,,0913 0522
695,354,,0100 0928 1822
696,354,,1822 0930
697,440,,0394
698,354,,0100
700,886,,0342 0913 0603
701,354,,0100
702,354,,0100 0922 0929 0930 1822 0344
703,740,,0329 0603
704,236,,0334 0421 2002 0913 1241 0432 1813 2000
705,341,,1820 0344 0800 1822
706,236,,1814 0913 1206 0416 2000
708,354,,1822 0922
710,845,,1501
711,354,,0929 1822 0930
712,354,,1501 1822
713,354,,1501 1822
714,341,,0344
715,626,,2000 1814 0416 0400 0913
716,354,,0928
717,354,,1822 0929 0930
718,812,812,0360 0913 1258 0500
719,354,,1501 1822
720,354,,1501
721,354,,0100 1822
722,956,,0913 1814 1912
723,354,,1822 0928
724,812,860,0913 0360 0500 0551 1258
726,354,,0100
727,815,815,0913 0360 1257 0500 0522 0515
728,354,,1822 0930 0928
729,954,,1259 1279
730,354,,0377
731,354,,1822 0922 0929 0930 0935
732,627,,0602 1258 0416 0553
734,900,,2038
735,354,,1822 1501
736,354,,0377
737,354,,1202 0377 1822 1501 0929 0930
738,740,,0329 1202 0361 0913 0603
739,331,,1822 0344 1274
740,236,,2000 1813 0416 0429 0417
741,354,,0930 1822 0100
742,354,,0930 0929 1822
743,354,,0922 0930 1822
744,354,,0377 1822 0930
745,354,,0922 0929 0930 1822
746,668,,1202 0913 1803 0930 0924
747,354,,0100 0930 1822
748,354,,0930 1822
749,956,,1906 1266 1817
750,354,,0100
751,354,,0929 1822 0928
752,354,,1501 1822
753,354,,1822 0929 0930
754,354,,0100
755,627,,0416 0913 0552 0419
756,354,,1822
757,121,,2000 0527 0913 0500 2021 1813 0400
758,354,,0100 0917 0922 0928 0929 0930 1822
759,330,,1822 1300 1202 0344
760,956,,1906
761,745,,0329 1822 1300
762,354,,0100 1501 1822 0917
763,860,,0913 2021 0400 1251 0522
764,626,,1814 2000 0416
765,354,,0928 0931
766,860,,0522 1258 0602 0360 0551 0913
767,745,,0913 0329
768,940,,1915
769,354,,0923 0926 0928 0930 0922 0929 0935 1822
770,440,,0344 0394
772,354,,1822 0929
773,354,,1822 0930
774,354,,1822
775,627,,0416 0400 0913 0552
776,354,,0100 0923 0930 0928 0929 0922 1822
777,310,,0397 1501
778,354,,0100
781,626,,0913 0446 2000 0416 1814
782,121,,1262 1259 2004 1251 1206 0527 1218 0913 0853
783,626,,0416 0913 2000 1813
784,341,,0930 1822 0344 1501 1218
785,354,,0100 1822
786,354,,0100 0928
787,354,,0928
788,354,,1822 0930 0929 0922
789,812,860,1259 0556 0913 0551 0522 0509
791,354,,0930 1822
792,626,,2000 1814 1813 0448 0444 0429
793,354,,0377
795,812,860,0360 0503 0522 1258 0913 1817
796,354,,0100 0922 0929 0930
797,860,,1259 0500 0522 0913 0360
798,956,,0432
799,341,,1202 0344 1822 1501
800,354,,0100 1822 0120
801,121,,0526 1810 2001 2002 0527 0515 0913 1206 2034 1262
802,354,,0100 0928
803,310,,1606 0344
804,434,,1501 1822
805,354,,1202 0923 1822
806,666,,0800 0701 1202 2021 0913 0344
807,860,,1251 1259 0522 1811
808,354,,1822 0928
809,649,,0935
810,354,,0100 0930 0928 0929 0917 0344 1822
811,956,,1906 0913 2000 1814 0443
814,354,,0377
815,354,,0377 1822
816,354,,1822 0929
817,626,,0913 2000 1814 2001 0446 0340 0448 0419 0417 0429
818,354,,0928 1822 0100
819,354,,0100 1202
820,354,,1822 0928
821,354,,1822 0100 0922 0929 0930 0928
822,354,,0377
823,956,,0913 0400 0443
824,354,,0929 1822
825,354,,0100
826,354,,0100 0929 0930 1822
827,354,,1822 0924
828,354,,0377 0928 1202
829,354,,0100
830,330,,0344 1307 0352 1822 1302 1609
831,354,,0100 1822
832,354,,0922
833,341,,0344
835,440,,0344 0394
836,354,,0100 0922 0929 1822
837,330,,1300 1307 1822
